stock_id,name,template,is_current,is_new_best,n_trades,win_rate,pf,max_dd,im_cagr,fill_rate,expectancy,score
2317,鴻海,donchian_breakout,False,False,19,0.4737,2.379,-0.2724,0.2539,1.0,0.0337,7.126
2317,鴻海,trend_pullback,False,False,6,0.1667,0.131,-0.1844,-0.5198,0.429,-0.0273,
2317,鴻海,momentum_hold,False,True,24,0.3333,2.833,-0.2777,0.4204,0.857,0.0437,9.12
2317,鴻海,volume_breakout,False,False,26,0.4231,1.225,-0.1906,0.1104,1.0,0.006,4.038
2317,鴻海,bollinger_squeeze,False,False,12,0.6667,2.604,-0.232,0.3516,1.0,0.0598,6.679
2330,台積電,low_vol_pullback,False,False,19,0.6316,1.164,-0.1332,0.0503,0.864,0.0048,3.486
2330,台積電,mean_reversion,False,False,21,0.4286,1.201,-0.1322,0.0484,1.0,0.0073,3.712
2330,台積電,donchian_breakout,True,True,48,0.4583,2.109,-0.1728,0.1572,0.891,0.0242,8.209
2330,台積電,trend_pullback,False,False,9,0.2222,0.23,-0.1322,-0.3443,0.375,-0.0229,
2330,台積電,momentum_hold,False,False,9,0.4444,1.944,-0.1192,0.1957,0.714,0.0261,4.476
2330,台積電,volume_breakout,False,False,73,0.3151,1.188,-0.3637,0.0354,0.961,0.0043,5.115
2330,台積電,bollinger_squeeze,False,False,14,0.2143,1.007,-0.1275,-0.0216,0.933,0.0013,2.726
2345,智邦,low_vol_pullback,True,False,46,0.6957,2.653,-0.0361,0.5858,0.979,0.0352,10.215
2345,智邦,mean_reversion,False,False,11,0.6364,5.449,-0.0421,0.6365,1.0,0.067,13.541
2345,智邦,donchian_breakout,False,False,45,0.4,1.839,-0.0731,0.2003,0.979,0.0327,7.04
2345,智邦,trend_pullback,False,False,6,0.6667,8.043,-0.0111,2.4835,0.333,0.0413,15.651
2345,智邦,momentum_hold,False,True,11,0.5455,6.744,-0.0971,0.3685,0.688,0.2365,16.758
2345,智邦,volume_breakout,False,False,42,0.3333,1.47,-0.0662,0.178,1.0,0.0142,5.528
2345,智邦,bollinger_squeeze,False,False,15,0.3333,0.681,-0.0464,-0.4483,0.938,-0.0095,
2360,致茂,low_vol_pullback,True,False,78,0.5513,1.418,-0.1877,0.1942,0.951,0.0125,6.196
2360,致茂,mean_reversion,False,False,11,0.4545,1.54,-0.1836,0.4136,0.917,0.0233,3.828
